I_100_30_S_1-49_5;42
I_100_30_S_1-49_6;42
I_100_30_S_1-49_7;45
I_100_30_S_1-49_8;42
I_100_30_S_1-49_9;42
I_100_30_S_1-9_1;29
I_100_30_S_1-9_10;25
I_100_30_S_1-9_2;22
I_100_30_S_1-9_3;23
I_100_30_S_1-9_4;26
I_100_30_S_1-9_5;28
I_100_30_S_1-9_6;25
I_100_30_S_1-9_7;29
I_100_30_S_1-9_8;27
I_100_30_S_1-9_9;23
I_100_30_S_1-99_1;58
I_100_30_S_1-99_10;60
I_100_30_S_1-99_2;56
I_100_30_S_1-99_3;54
I_100_30_S_1-99_4;56
I_100_30_S_1-99_5;55
I_100_30_S_1-99_6;52
I_100_30_S_1-99_7;54
I_100_30_S_1-99_8;53
I_100_30_S_1-99_9;53
I_50_10_S_1-124_1;114
I_50_10_S_1-124_10;130
I_50_10_S_1-124_2;131
I_50_10_S_1-124_3;119
I_50_10_S_1-124_4;114
I_50_10_S_1-124_5;123
I_50_10_S_1-124_6;114
I_50_10_S_1-124_7;111
I_50_10_S_1-124_8;117
I_50_10_S_1-124_9;112
I_50_10_S_1-49_1;77
I_50_10_S_1-49_10;95
I_50_10_S_1-49_2;88
I_50_10_S_1-49_3;77
I_50_10_S_1-49_4;109
I_50_10_S_1-49_5;90
I_50_10_S_1-49_6;81
I_50_10_S_1-49_7;100
I_50_10_S_1-49_8;102
I_50_10_S_1-49_9;99
I_50_10_S_1-9_1;67
I_50_10_S_1-9_10;61
I_50_10_S_1-9_2;56
I_50_10_S_1-9_3;70
I_50_10_S_1-9_4;66
I_50_10_S_1-9_5;70
I_50_10_S_1-9_6;73
I_50_10_S_1-9_7;70
I_50_10_S_1-9_8;70
I_50_10_S_1-9_9;69
I_50_10_S_1-99_1;118
I_50_10_S_1-99_10;106
I_50_10_S_1-99_2;118
I_50_10_S_1-99_3;117
I_50_10_S_1-99_4;103
I_50_10_S_1-99_5;114
I_50_10_S_1-99_6;117
I_50_10_S_1-99_7;115
I_50_10_S_1-99_8;99
I_50_10_S_1-99_9;112
I_50_15_S_1-124_1;75
I_50_15_S_1-124_10;70
I_50_15_S_1-124_2;70
I_50_15_S_1-124_3;67
I_50_15_S_1-124_4;73
I_50_15_S_1-124_5;60
I_50_15_S_1-124_6;76
I_50_15_S_1-124_7;76
I_50_15_S_1-124_8;80
I_50_15_S_1-124_9;75
I_50_15_S_1-49_1;59
I_50_15_S_1-49_10;56
I_50_15_S_1-49_2;57
I_50_15_S_1-49_3;57
I_50_15_S_1-49_4;59
I_50_15_S_1-49_5;57
I_50_15_S_1-49_6;56
I_50_15_S_1-49_7;50
I_50_15_S_1-49_8;55
I_50_15_S_1-49_9;54
I_50_15_S_1-9_1;36
I_50_15_S_1-9_10;35
I_50_15_S_1-9_2;39
I_50_15_S_1-9_3;36
I_50_15_S_1-9_4;38
I_50_15_S_1-9_5;38
I_50_15_S_1-9_6;41
I_50_15_S_1-9_7;36
I_50_15_S_1-9_8;37
I_50_15_S_1-9_9;41
I_50_15_S_1-99_1;78
I_50_15_S_1-99_10;75
I_50_15_S_1-99_2;60
I_50_15_S_1-99_3;65
I_50_15_S_1-99_4;71
I_50_15_S_1-99_5;70
I_50_15_S_1-99_6;66
I_50_15_S_1-99_7;65
I_50_15_S_1-99_8;62
I_50_15_S_1-99_9;78
I_50_20_S_1-124_1;52
I_50_20_S_1-124_10;45
I_50_20_S_1-124_2;54
I_50_20_S_1-124_3;51
I_50_20_S_1-124_4;51
I_50_20_S_1-124_5;45
I_50_20_S_1-124_6;50
I_50_20_S_1-124_7;45
I_50_20_S_1-124_8;48
I_50_20_S_1-124_9;55
I_50_20_S_1-49_1;39
I_50_20_S_1-49_10;43
I_50_20_S_1-49_2;31
I_50_20_S_1-49_3;38
I_50_20_S_1-49_4;32
I_50_20_S_1-49_5;32
I_50_20_S_1-49_6;33
I_50_20_S_1-49_7;37
I_50_20_S_1-49_8;37
I_50_20_S_1-49_9;42
I_50_20_S_1-9_1;31
I_50_20_S_1-9_10;26
I_50_20_S_1-9_2;26
I_50_20_S_1-9_3;27
I_50_20_S_1-9_4;23
I_50_20_S_1-9_5;24
I_50_20_S_1-9_6;26
I_50_20_S_1-9_7;25
I_50_20_S_1-9_8;24
I_50_20_S_1-9_9;27
I_50_20_S_1-99_1;49
I_50_20_S_1-99_10;47
I_50_20_S_1-99_2;49
I_50_20_S_1-99_3;48
I_50_20_S_1-99_4;53
I_50_20_S_1-99_5;49
I_50_20_S_1-99_6;42
I_50_20_S_1-99_7;47
I_50_20_S_1-99_8;44
I_50_20_S_1-99_9;46
I_50_25_S_1-124_1;37
I_50_25_S_1-124_10;38
I_50_25_S_1-124_2;37
I_50_25_S_1-124_3;36
I_50_25_S_1-124_4;36
I_50_25_S_1-124_5;39
I_50_25_S_1-124_6;36
I_50_25_S_1-124_7;37
I_50_25_S_1-124_8;35
I_50_25_S_1-124_9;41
I_50_25_S_1-49_1;25
I_50_25_S_1-49_10;31
I_50_25_S_1-49_2;28
I_50_25_S_1-49_3;29
I_50_25_S_1-49_4;29
I_50_25_S_1-49_5;26
I_50_25_S_1-49_6;27
I_50_25_S_1-49_7;32
I_50_25_S_1-49_8;30
I_50_25_S_1-49_9;28
I_50_25_S_1-9_1;22
I_50_25_S_1-9_10;21
I_50_25_S_1-9_2;21
I_50_25_S_1-9_3;17
I_50_25_S_1-9_4;22
I_50_25_S_1-9_5;23
I_50_25_S_1-9_6;17
I_50_25_S_1-9_7;16
I_50_25_S_1-9_8;18
I_50_25_S_1-9_9;17
I_50_25_S_1-99_1;35
I_50_25_S_1-99_10;38
I_50_25_S_1-99_2;33
I_50_25_S_1-99_3;33
I_50_25_S_1-99_4;42
I_50_25_S_1-99_5;43
I_50_25_S_1-99_6;35
I_50_25_S_1-99_7;35
I_50_25_S_1-99_8;33
I_50_25_S_1-99_9;36
I_50_30_S_1-124_1;27
I_50_30_S_1-124_10;26
I_50_30_S_1-124_2;28
I_50_30_S_1-124_3;26
I_50_30_S_1-124_4;28
I_50_30_S_1-124_5;27
I_50_30_S_1-124_6;31
I_50_30_S_1-124_7;26
I_50_30_S_1-124_8;26
I_50_30_S_1-124_9;31
I_50_30_S_1-49_1;20
I_50_30_S_1-49_10;22
I_50_30_S_1-49_2;22
I_50_30_S_1-49_3;21
I_50_30_S_1-49_4;22
I_50_30_S_1-49_5;22
I_50_30_S_1-49_6;23
I_50_30_S_1-49_7;22
I_50_30_S_1-49_8;23
I_50_30_S_1-49_9;25
I_50_30_S_1-9_1;11
I_50_30_S_1-9_10;14
I_50_30_S_1-9_2;15
I_50_30_S_1-9_3;16
I_50_30_S_1-9_4;18
I_50_30_S_1-9_5;13
I_50_30_S_1-9_6;15
I_50_30_S_1-9_7;17
I_50_30_S_1-9_8;17
I_50_30_S_1-9_9;14
