INSTANCIA	ALGORITMO	LIT.	MELHOR	PIOR	MEDIA	MEDIANA	RPDbst	RPDavg	TEMPO(s)
I_100_10_S_1-124_2	SA	210	388.0	430	412.3	419.0	0.85	0.96	0.4
I_100_10_S_1-124_10	SA	239	393.0	441	424.7	440.0	0.64	0.78	0.4
I_100_10_S_1-124_1	SA	221	375.0	416	392.0	385.0	0.70	0.77	0.4
