INSTANCIA	ALGORITMO	LIT.	MELHOR	PIOR	MEDIA	MEDIANA	RPDbst	RPDavg	TEMPO(s)
I_10_2_S_1-124_2	SA	253	253.0	256	254.7	255.0	0.00	0.01	0.2
I_10_2_S_1-124_1	SA	288	288.0	288	288.0	288.0	0.00	0.00	0.1
I_10_2_S_1-124_10	SA	321	321.0	332	324.7	321.0	0.00	0.01	0.1
